Rank,Subscribers,Video Views
1,284000000,52402898889
2,268000000,2.59E+11
3,181000000,0
4,177000000,1.83E+11
5,174000000,1.65E+11
6,123000000,1.04E+11
7,121000000,0
8,120000000,91646190811
9,116000000,1.01E+11
10,111000000,29321159091
11,108000000,67216985556
12,102000000,85384982910
13,97500000,29155729617
14,94000000,36021960664
15,93200000,0
16,93000000,1.16E+11
17,91600000,51262420930
18,81200000,90000427523
19,80700000,27434203181
20,78400000,22968911487
21,75600000,44257239905
22,75000000,34479738871
23,74800000,0
24,73400000,71364800889
25,73100000,32308818102
26,68700000,29397867987
27,68300000,9818385752
28,68000000,34189207296
29,67200000,38329586816
30,66600000,39139899623
31,65600000,32214581935
32,64600000,60761135038
33,62600000,36328986679
34,62100000,42833762859
35,61500000,62338500436
36,60700000,32118521781
37,60600000,30036530673
38,60300000,17491404083
39,60300000,41359440414
40,59300000,35440261917
41,58300000,26789058165
42,57500000,66644295424
43,57200000,15744870591
44,57000000,34798159048
45,56800000,11644948752
46,55300000,29012818353
47,55100000,54328207503
48,54800000,32437895947
49,54700000,24455338211
50,54300000,26209779791
51,54100000,51486376307
52,53800000,6475616024
53,53700000,24636720319
54,52000000,14401513141
55,52000000,15885605065
56,51200000,33067549283
57,50900000,40706264718
58,50700000,31122118160
59,50400000,18621074107
60,50300000,15501312729
61,49900000,16415333003
62,49800000,6520658024
63,49400000,2688506741
64,48600000,40438782884
65,48300000,28431795814
66,48300000,54986977484
67,47900000,28622092736
68,47900000,35362414855
69,47600000,22839748825
70,47500000,10605462479
71,47400000,19765389240
72,46600000,40460365398
73,46400000,17712289572
74,46200000,30347249853
75,46100000,7786094884
76,45600000,14258353183
77,45500000,8119307582
78,45400000,19419638399
79,45100000,6597708496
80,45000000,26798028090
81,44700000,4522683019
82,44600000,27804707665
83,44600000,11165155212
84,44200000,25470880016
85,44200000,29000798133
86,44100000,7916637953
87,43900000,17362857759
88,43800000,43994062628
89,43800000,4892742237
90,43300000,6749695321
91,43300000,24335682178
92,43300000,20515455364
93,43300000,25240435750
94,43100000,32905352450
95,42800000,9785404269
96,42700000,27843362220
97,42300000,16779938358
98,42300000,19053313457
99,42200000,4267209662
100,42200000,3777339775
101,42000000,51028475021
102,41800000,20418868849
103,41700000,25355477656
104,41600000,18026197031
105,41400000,39989883613
106,41400000,19723045529
107,41400000,17097789779
108,41100000,7567713758
109,41100000,30940999892
110,41000000,40511633246
111,41000000,38572625814
112,40900000,7908072755
113,40900000,11885843855
114,40900000,21689007349
115,40800000,28252318887
116,40800000,26699949599
117,40700000,2876535428
118,40600000,28028920749
119,40500000,11072517534
120,40500000,25658565309
121,40500000,28450417853
122,40400000,20034679150
123,40300000,7450255112
124,40200000,7059142272
125,40100000,16051919680
126,40000000,31299646193
127,39900000,5917758614
128,39600000,33482311946
129,39400000,13070438462
130,39000000,24619906597
131,38700000,12285133881
132,38600000,14338673594
133,38600000,9391300398
134,38400000,30664895336
135,38200000,43383319023
136,38200000,23177250521
137,38100000,21239189125
138,37900000,16959569885
139,37200000,16562408810
140,37200000,57768805062
141,37000000,24103378959
142,36800000,24955636109
143,36800000,28837128283
144,36700000,21532398718
145,36700000,19640525108
146,36700000,23738047158
147,36500000,24126232593
148,36400000,15755538542
149,36400000,21951036959
150,36300000,13089545100
151,36300000,16642089302
152,36200000,21616119900
153,36100000,0
154,36000000,32404387400
155,35900000,21931716421
156,35700000,14668574240
157,35600000,26062874802
158,35500000,27497575024
159,35500000,37896322114
160,35400000,16935567078
161,35300000,14434949290
162,35300000,13760583676
163,35200000,27429571118
164,35100000,19677595208
165,35100000,14132618019
166,35000000,21113093115
167,35000000,22871535977
168,34900000,18189377681
169,34900000,32116374240
170,34600000,14136172748
171,34500000,25114109543
172,34500000,13497716163
173,34400000,13974270574
174,34400000,24243577307
175,34400000,3951213994
176,34100000,15801197359
177,34100000,23375426719
178,34000000,17769870210
179,33900000,10625905566
180,33900000,6109650398
181,33900000,16622803589
182,33800000,28804490214
183,33800000,11731154139
184,33700000,11150376358
185,33600000,24247374606
186,33500000,13477194903
187,33500000,18794964268
188,33400000,3426509357
189,33300000,11231538706
190,33200000,27750131487
191,33100000,28354232639
192,33000000,12730992827
193,32900000,19248224443
194,32800000,1696679322
195,32800000,13270630673
196,32800000,22345190578
197,32600000,8977349981
198,32500000,29563601046
199,32400000,17837303631
200,32300000,30007296856
201,32300000,3503851233
202,32100000,5254558575
203,32000000,24351375493
204,31900000,17311274930
205,31900000,3119509024
206,31900000,6984361844
207,31900000,26705210916
208,31800000,19097996802
209,31800000,15786019512
210,31800000,16245122588
211,31700000,18710531355
212,31700000,9805453763
213,31700000,25316833225
214,31700000,8595224162
215,31700000,19800216985
216,31600000,17669126576
217,31500000,12654029779
218,31500000,17169348561
219,31500000,29008044977
220,31400000,5201341332
221,31400000,27833664479
222,31300000,15596741024
223,31200000,8036354148
224,31200000,13982116924
225,31200000,20784466117
226,31000000,27964326089
227,30900000,17994765414
228,30900000,6101606698
229,30700000,13778970272
230,30700000,10070673770
231,30700000,16787475333
232,30600000,38117604163
233,30600000,17191293740
234,30600000,8992174741
235,30600000,17647496152
236,30400000,16028438175
237,30400000,12498960147
238,30400000,4768683812
239,30400000,39040881963
240,30300000,14463541539
241,30300000,13926862038
242,30200000,24070878821
243,30200000,13709417105
244,30000000,17891064240
245,30000000,12598490747
246,30000000,23147809760
247,29800000,14713485059
248,29600000,26500754560
249,29600000,25890616366
250,29500000,22680411003
251,29200000,22630855201
